time,tavg,tmin,tmax,prcp,wdir,wspd,wpgt,pres
2000-01-01,11.2,6.0,16.4,0.0,,3.7,37.0,1014.1
2000-01-02,11.8,5.8,18.0,0.0,,5.4,37.0,1014.1
2000-01-03,12.8,5.9,17.4,0.0,,4.5,37.0,1014.1
2000-01-04,13.8,10.0,17.5,0.0,,3.1,37.0,1014.1
2000-01-05,11.9,7.0,18.0,0.0,,5.0,37.0,1014.1
2000-01-06,12.5,6.5,19.0,0.0,138.0,3.8,37.0,1014.1
2000-01-07,11.8,7.2,17.2,0.0,185.0,3.0,37.0,1014.1
2000-01-08,11.5,5.5,17.2,0.0,185.33333333333334,6.0,37.0,1014.1
2000-01-09,11.1,6.0,16.2,0.0,185.66666666666666,4.2,37.0,1014.1
2000-01-10,11.4,6.0,15.0,2.0,186.0,7.7,37.0,1014.1
2000-01-11,8.7,3.9,14.0,2.0,211.0,3.7,37.0,1014.1
2000-01-12,9.6,4.5,15.3,0.0,236.0,3.4,37.0,1014.1
2000-01-13,10.8,4.0,17.0,0.0,261.0,7.1,37.0,1014.1
2000-01-14,11.0,9.0,14.5,13.0,276.0,9.6,37.0,1014.1
2000-01-15,10.7,7.0,14.3,18.0,255.0,10.2,37.0,1014.1
2000-01-16,10.9,8.0,13.7,0.0,229.0,5.4,37.0,1014.1
2000-01-17,14.3,10.8,20.3,6.1,145.0,6.6,37.0,1014.1
2000-01-18,12.2,8.0,18.0,0.0,141.71428571428572,2.8,37.0,1014.1
2000-01-19,12.1,8.0,17.0,0.006666666666666667,138.42857142857142,3.7,37.0,1014.1
2000-01-20,11.4,6.6,16.5,0.013333333333333334,135.14285714285714,4.3,37.0,1014.1
2000-01-21,10.6,5.0,16.1,0.02,131.85714285714286,4.1,37.0,1014.1
2000-01-22,11.7,6.8,16.4,0.02666666666666667,128.57142857142858,4.8,37.0,1014.1
2000-01-23,11.6,7.0,17.0,0.03333333333333333,125.28571428571428,3.8,37.0,1014.1
2000-01-24,11.8,6.5,17.0,0.04,122.0,5.0,37.0,1014.1
2000-01-25,12.3,6.5,17.0,0.04666666666666667,160.0,7.9,37.0,1014.1
2000-01-26,14.0,10.6,17.4,0.05333333333333334,249.0,7.8,37.0,1014.1
2000-01-27,12.7,8.0,17.0,0.060000000000000005,226.0,5.8,37.0,1014.1
2000-01-28,13.1,7.5,18.0,0.06666666666666667,203.0,3.4,37.0,1014.1
2000-01-29,14.3,11.5,17.5,0.07333333333333333,59.0,5.2,37.0,1014.1
2000-01-30,14.9,11.2,21.2,0.08,87.0,7.8,37.0,1014.1
2000-01-31,17.8,11.7,27.0,0.08666666666666667,156.0,4.6,37.0,1014.1
2000-02-01,17.6,11.0,25.3,0.09333333333333334,190.0,3.3,37.0,1014.1
2000-02-02,15.6,10.5,21.0,0.1,131.0,8.3,37.0,1014.1
2000-02-03,14.9,10.7,24.4,0.10666666666666667,62.0,12.9,37.0,1014.1
2000-02-04,13.6,9.0,18.0,0.11333333333333334,66.25,3.1,37.0,1014.1
2000-02-05,13.1,8.0,19.0,0.12000000000000001,70.5,1.7,37.0,1014.1
2000-02-06,14.7,12.6,17.4,0.12666666666666668,74.75,2.7,37.0,1014.1
2000-02-07,14.1,10.0,17.5,0.13333333333333333,79.0,7.9,37.0,1014.1
2000-02-08,14.8,11.0,17.4,0.14,98.0,10.6,37.0,1014.1
2000-02-09,14.6,12.6,17.0,0.14666666666666667,108.0,12.4,37.0,1014.1
2000-02-10,14.4,10.0,18.0,0.15333333333333335,101.0,7.5,37.0,1014.1
2000-02-11,13.9,8.6,18.0,0.16,73.0,5.6,37.0,1014.1
2000-02-12,14.7,8.5,18.2,0.16666666666666669,67.0,5.9,37.0,1014.1
2000-02-13,15.0,12.5,18.0,0.17333333333333334,93.0,11.0,37.0,1014.1
2000-02-14,13.9,8.8,18.1,0.18000000000000002,74.5,3.9,37.0,1014.1
2000-02-15,14.3,9.4,18.0,0.18666666666666668,56.0,5.3,37.0,1014.1
2000-02-16,14.6,10.9,18.0,0.19333333333333336,62.5,4.4,37.0,1014.1
2000-02-17,14.4,9.4,17.2,0.2,69.0,12.8,37.0,1014.1
2000-02-18,14.4,9.0,18.2,0.2066666666666667,102.0,6.1,37.0,1014.1
2000-02-19,13.4,8.7,18.2,0.21333333333333335,90.25,4.5,37.0,1014.1
2000-02-20,14.0,9.0,17.6,0.22,78.5,7.1,37.0,1014.1
2000-02-21,15.0,9.7,17.7,0.22666666666666668,66.75,9.5,37.0,1014.1
2000-02-22,15.7,13.0,18.5,0.23333333333333334,55.0,6.5,37.0,1014.1
2000-02-23,15.3,11.0,18.1,0.24000000000000002,101.0,8.7,37.0,1014.1
2000-02-24,15.6,10.0,20.0,0.24666666666666667,161.75,5.3,37.0,1014.1
2000-02-25,16.7,11.6,23.0,0.25333333333333335,222.5,4.4,37.0,1014.1
2000-02-26,15.4,11.0,19.2,0.26,283.25,6.9,37.0,1014.1
2000-02-27,15.7,12.7,18.0,0.26666666666666666,344.0,6.1,37.0,1014.1
2000-02-28,16.3,14.6,18.5,0.2733333333333334,32.0,6.3,37.0,1014.1
2000-02-29,16.1,13.0,19.0,0.28,56.0,5.6,37.0,1014.1
2000-03-01,15.9,12.0,19.0,0.2866666666666667,72.0,9.1,37.0,1014.1
2000-03-02,14.3,9.0,18.0,0.29333333333333333,111.0,9.7,37.0,1014.1
2000-03-03,14.9,11.0,19.0,0.30000000000000004,101.5,4.7,37.0,1014.1
2000-03-04,15.4,9.5,21.3,0.3066666666666667,92.0,5.0,37.0,1014.1
2000-03-05,16.9,12.0,21.5,0.31333333333333335,82.5,6.3,37.0,1014.1
2000-03-06,19.7,13.6,27.6,0.32,73.0,11.8,37.0,1014.1
2000-03-07,22.5,17.5,31.0,0.32666666666666666,118.0,8.1,37.0,1014.1
2000-03-08,22.6,16.0,31.2,0.33333333333333337,127.0,7.5,37.0,1014.1
2000-03-09,23.4,18.6,32.0,0.34,113.0,4.7,37.0,1014.1
