time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2000-01-01,11.2,6.0,16.4,0.0,,,3.7,,,
2000-01-02,11.8,5.8,18.0,0.0,,,5.4,,,
2000-01-03,12.8,5.9,17.4,0.0,,,4.5,,,
2000-01-04,13.8,10.0,17.5,0.0,,,3.1,,,
2000-01-05,11.9,7.0,18.0,0.0,,,5.0,,,
2000-01-06,12.5,6.5,19.0,0.0,,138.0,3.8,,,
2000-01-07,11.8,7.2,17.2,0.0,,185.0,3.0,,,
2000-01-08,11.5,5.5,17.2,0.0,,,6.0,,,
2000-01-09,11.1,6.0,16.2,0.0,,,4.2,,,
2000-01-10,11.4,6.0,15.0,2.0,,186.0,7.7,,,
2000-01-11,8.7,3.9,14.0,2.0,,,3.7,,,
2000-01-12,9.6,4.5,15.3,0.0,,,3.4,,,
2000-01-13,10.8,4.0,17.0,0.0,,261.0,7.1,,,
2000-01-14,11.0,9.0,14.5,13.0,,276.0,9.6,,,
2000-01-15,10.7,7.0,14.3,18.0,,255.0,10.2,,,
2000-01-16,10.9,8.0,13.7,0.0,,229.0,5.4,,,
2000-01-17,14.3,10.8,20.3,6.1,,145.0,6.6,,,
2000-01-18,12.2,8.0,18.0,0.0,,,2.8,,,
2000-01-19,12.1,8.0,17.0,,,,3.7,,,
2000-01-20,11.4,6.6,16.5,,,,4.3,,,
2000-01-21,10.6,5.0,16.1,,,,4.1,,,
2000-01-22,11.7,6.8,16.4,,,,4.8,,,
2000-01-23,11.6,7.0,17.0,,,,3.8,,,
2000-01-24,11.8,6.5,17.0,,,122.0,5.0,,,
2000-01-25,12.3,6.5,17.0,,,160.0,7.9,,,
2000-01-26,14.0,10.6,17.4,,,249.0,7.8,,,
2000-01-27,12.7,8.0,17.0,,,,5.8,,,
2000-01-28,13.1,7.5,18.0,,,203.0,3.4,,,
2000-01-29,14.3,11.5,17.5,,,59.0,5.2,,,
2000-01-30,14.9,11.2,21.2,,,87.0,7.8,,,
2000-01-31,17.8,11.7,27.0,,,156.0,4.6,,,
2000-02-01,17.6,11.0,25.3,,,190.0,3.3,,,
2000-02-02,15.6,10.5,21.0,,,131.0,8.3,,,
2000-02-03,14.9,10.7,24.4,,,62.0,12.9,,,
2000-02-04,13.6,9.0,18.0,,,,3.1,,,
2000-02-05,13.1,8.0,19.0,,,,1.7,,,
2000-02-06,14.7,12.6,17.4,,,,2.7,,,
2000-02-07,14.1,10.0,17.5,,,79.0,7.9,,,
2000-02-08,14.8,11.0,17.4,,,98.0,10.6,,,
2000-02-09,14.6,12.6,17.0,,,108.0,12.4,,,
